Term,DAnalyst,DScientist,DArchitect,City,State
Cassandra,0,5.88235294118,18.1818181818,Anaheim,CA
Java,2.7027027027,0,0,Pittsburgh,PA
HBase,0.645161290323,5.88235294118,4,LongBeach,CA
Shark,0,11.1111111111,0,Garland,TX
Excel,48.3870967742,100,0,Hialeah,FL
JavaScript,11.6279069767,12.4352331606,8.33333333333,San Jose,CA
SAS,8.33333333333,0,14.2857142857,Miami,FL
Perl,0.468384074941,3.33333333333,6.08695652174,Jersey,NJ
Cassandra,0,0,0,Denver,CO
SPSS,0,7.14285714286,0,Irvine,CA
Ruby,3.96341463415,8.46560846561,2.80373831776,Washington,DC
SPSS,2.12765957447,0,0,Boulder,CO
SQL,37.5510204082,32.2222222222,40,Oakland,CA
Excel,25.641025641,25,0,Durham,NC
HBase,0,0,7.14285714286,Detroit,MI
Hive,3.59712230216,16.2162162162,3.57142857143,Atlanta,GA
MapReduce,0.847457627119,36.8421052632,0,Arlington,TX
SQL,42.6356589147,27.4611398964,50,San Jose,CA
Oozie,0,0,42.8571428571,St. Louis,MO
NoSQL,0.702576112412,7.5,19.1304347826,Jersey,NJ
HBase,0,0,12.5,Charlotte,NC
R,14.7058823529,48.7394957983,7.5,Boston,MA
Cassandra,0.961538461538,25.9259259259,27.7777777778,Garland,TX
Excel,42.1052631579,0,0,Cincinnati,OH
Pig,0,0,18.1818181818,Tampa,FL
Python,15.3846153846,0,0,Durham,NC
Tableau,15.1079136691,5.40540540541,7.14285714286,Atlanta,GA
D3,0,3.22580645161,0,Philadelphia,PA
Spark,4.08163265306,18.4549356223,21.2765957447,Fremont,CA
Mahout,0,0.709219858156,0,Seattle,WA
Scala,1.45631067961,7.74647887324,6.89655172414,Newark,NJ
Java,0,16.1290322581,20,Philadelphia,PA
Matlab,0,6.25,0,Austin,TX
Flume,0,0,12.5,Charlotte,NC
Pig,0.914634146341,5.29100529101,2.80373831776,Washington,DC
Pig,1.29032258065,17.6470588235,0,LongBeach,CA
HBase,0,20,0,Phoenix,AZ
Mahout,0,16.1290322581,0,Baltimore,MD
SAS,16.2162162162,0,0,Pittsburgh,PA
Python,0,40,0,Chandler,AZ
Tableau,11.5384615385,20,14.2857142857,Detroit,MI
Matlab,4.38596491228,14.6245059289,0,San Francisco,CA
Perl,1.72413793103,0,0,Santa Ana,CA
ZooKeeper,0,0,2.12765957447,Chicago,IL
R,4.7619047619,33.3333333333,53.3333333333,Aurora,CO
MapReduce,0,25,0,Austin,TX
HBase,0,16.1290322581,0,Baltimore,MD
Java,5.40540540541,41.1764705882,20,SanDiego,CA
C++,1.10619469027,9.96015936255,3.33333333333,New York,NY
Hadoop,9.61538461538,51.8518518519,55.5555555556,Garland,TX
SQL,35.1351351351,50,40.9090909091,St. Paul,MN
Python,0,40,0,Gilbert,AZ
MongoDB,0,9.67741935484,0,Baltimore,MD
Matlab,0.847457627119,26.3157894737,0,Arlington,TX
Pig,2.19298245614,9.09090909091,10.8108108108,San Francisco,CA
Hive,0.961538461538,17.7304964539,21.4285714286,Seattle,WA
Tableau,0,0,16.6666666667,Houston,TX
D3.js,0.847457627119,0,0,Arlington,TX
Ruby,1.5625,11.1111111111,0,Dallas,TX
SAS,8.49514563107,16.1971830986,8.62068965517,Newark,NJ
Matlab,0,16.1290322581,0,Philadelphia,PA
R,15.1724137931,70.9677419355,18.1818181818,Irving,TX
Spark,0,23.5294117647,40,SanDiego,CA
R,13.0530973451,54.1832669323,10.8333333333,New York,NY
Pig,0,9.09090909091,9.09090909091,Cincinnati,OH
SPSS,2.63157894737,20,0,Gilbert,AZ
Pig,4.25531914894,16.6666666667,0,Boulder,CO
SPSS,2.43902439024,20,0,Chandler,AZ
R,16.2280701754,41.5019762846,10.8108108108,San Francisco,CA
Python,3.31491712707,43.4782608696,11.5384615385,Los Angeles,CA
Perl,0.961538461538,7.09219858156,14.2857142857,Seattle,WA
C++,0,0,9.09090909091,Cincinnati,OH
C++,0.719424460432,16.2162162162,7.14285714286,Atlanta,GA
Java,2.22222222222,33.3333333333,66.6666666667,Glendale,AZ
SAS,11.7647058824,100,0,Tampa,FL
Hive,5.26315789474,24.9011857708,13.5135135135,San Francisco,CA
SAS,3.63636363636,30,0,Charlotte,NC
SAS,2.12765957447,10,0,Boulder,CO
Excel,35.8974358974,6.66666666667,0,Detroit,MI
Flume,0,0,0,Gilbert,AZ
Tableau,8.10810810811,0,20,SanDiego,CA
Java,6.73076923077,44.4444444444,50,Garland,TX
Matlab,0.892857142857,19.2307692308,0,Plano,TX
D3,0,2.94117647059,0,Anaheim,CA
Tableau,1.35135135135,25,4.54545454545,St. Paul,MN
Hive,1.48148148148,23.5294117647,0,Anaheim,CA
Hive,0,0,25,Phoenix,AZ
SPSS,4.85436893204,5.28169014085,0.862068965517,Newark,NJ
Python,8.92857142857,46.1538461538,15,Plano,TX
Perl,15.1898734177,22.5806451613,8.33333333333,Baltimore,MD
D3,0,6.66666666667,0,Aurora,CO
Mahout,0,0.840336134454,0,Boston,MA
Perl,0,7.69230769231,10,Plano,TX
Tableau,14.7959183673,9.01287553648,14.8936170213,Fremont,CA
Shark,0,1.28205128205,0,Chicago,IL
Excel,30.2631578947,6.45161290323,0,Denver,CO
MongoDB,0,4.34782608696,0,St. Louis,MO
SQL,30.612244898,35.4838709677,53.3333333333,Philadelphia,PA
R,6.57894736842,35.4838709677,50,Denver,CO
Shark,0,0,0,Minneapolis,MN
Pig,0,0,25,Charlotte,NC
NoSQL,2.15827338129,5.40540540541,3.57142857143,Atlanta,GA
Hadoop,9.375,33.3333333333,0,Columbus,OH
Pig,0,0,16.6666666667,Houston,TX
D3,0,1.68067226891,0,Boston,MA
Hive,1.5503875969,17.0984455959,33.3333333333,San Jose,CA
SPSS,5.35714285714,23.0769230769,0,Plano,TX
JavaScript,4.08163265306,9.62962962963,8.88888888889,Oakland,CA
Excel,35.8407079646,12.7490039841,7.5,New York,NY
Shark,0,0,2.5,Boston,MA
Excel,42.7586206897,19.3548387097,3.0303030303,Irving,TX
SPSS,2.85714285714,3.7037037037,0,Oakland,CA
Perl,0.970873786408,5.28169014085,8.62068965517,Newark,NJ
Scala,0,0,9.09090909091,Cincinnati,OH
Flume,0,5.26315789474,0,Arlington,TX
Perl,2,0,0,St.Petersburg,FL
SPSS,5.40540540541,0,0,Austin,TX
Hive,0,12.9032258065,0,Baltimore,MD
Flume,0,9.09090909091,9.09090909091,Cincinnati,OH
Shark,0,5.26315789474,0,Arlington,TX
SAS,11.3636363636,33.3333333333,33.3333333333,Scottsdale,AZ
Java,2.96296296296,29.4117647059,13.6363636364,Anaheim,CA
JavaScript,2.7027027027,25,4.54545454545,St. Paul,MN
Python,0,33.3333333333,0,Scottsdale,AZ
NoSQL,0.961538461538,29.6296296296,33.3333333333,Garland,TX
Ruby,9.375,0,0,Columbus,OH
Ruby,1.32743362832,3.98406374502,5.83333333333,New York,NY
ZooKeeper,0,0,2.5,New York,NY
Hadoop,0,33.3333333333,18.1818181818,Tampa,FL
Oozie,0.961538461538,0,11.1111111111,Garland,TX
Python,2.27272727273,35.7142857143,0,Irvine,CA
D3,0,2.37154150198,0,San Francisco,CA
Shark,0,6.45161290323,0,Irving,TX
Ruby,0.729927007299,3.84615384615,0,Chicago,IL
MapReduce,0,2.5641025641,6.3829787234,Chicago,IL
Spark,0,40,0,Phoenix,AZ
Matlab,2.5641025641,6.66666666667,0,Detroit,MI
Python,1.85185185185,43.4782608696,0,St. Louis,MO
D3.js,0.234192037471,0.416666666667,0,Jersey,NJ
Tableau,6.66666666667,14.7058823529,9.09090909091,Anaheim,CA
Cassandra,0,0,14.8936170213,Chicago,IL
Python,4.44444444444,38.2352941176,13.6363636364,Anaheim,CA
SAS,9.18367346939,11.5879828326,4.25531914894,Fremont,CA
Cassandra,2.32558139535,0,16.6666666667,Houston,TX
C++,0.729927007299,10.2564102564,2.12765957447,Chicago,IL
Excel,35.4166666667,50,0,FortWorth,TX
SAS,16.0714285714,34.6153846154,0,Plano,TX
Cassandra,0,4.20168067227,2.5,Boston,MA
Mahout,0,0.833333333333,5.21739130435,Jersey,NJ
Oozie,0.78125,0,8.33333333333,Dallas,TX
D3,0,1.71673819742,0,Fremont,CA
Cassandra,3.65853658537,2.1164021164,1.8691588785,Washington,DC
Tableau,10.5263157895,20,0,Gilbert,AZ
MapReduce,2.88461538462,29.6296296296,16.6666666667,Garland,TX
D3,0,1.96078431373,0,LongBeach,CA
R,3.7037037037,56.5217391304,0,St. Louis,MO
Mahout,0,0,0,Dallas,TX
SQL,45.9459459459,0,100,Pittsburgh,PA
Excel,34.2105263158,0,0,Gilbert,AZ
Matlab,1.82926829268,9.52380952381,0,Washington,DC
SAS,8.63309352518,35.1351351351,3.57142857143,Atlanta,GA
Tableau,11.3636363636,40,50,Phoenix,AZ
Perl,1.5503875969,4.66321243523,0,San Jose,CA
Hadoop,5.61224489796,34.3347639485,38.2978723404,Fremont,CA
Pig,0,6.25,38.8888888889,Austin,TX
MongoDB,0,5.88235294118,10,SanDiego,CA
Flume,0.242718446602,0,3.44827586207,Newark,NJ
Cassandra,0,4.44444444444,8.88888888889,Oakland,CA
SAS,16.6666666667,33.3333333333,7.14285714286,Detroit,MI
Flume,0.30487804878,0.529100529101,2.80373831776,Washington,DC
Mahout,0,4.29184549356,4.25531914894,Fremont,CA
Hadoop,2.32558139535,0,16.6666666667,Houston,TX
Hadoop,8.10810810811,47.0588235294,40,SanDiego,CA
Ruby,0,14.2857142857,0,Irvine,CA
ZooKeeper,0,0,11.1111111111,Austin,TX
Scala,0,0,0,Philadelphia,PA
Pig,6.73076923077,25.9259259259,22.2222222222,Garland,TX
SPSS,4.08163265306,3.22580645161,0,Philadelphia,PA
Ruby,0.552486187845,6.52173913043,3.84615384615,Los Angeles,CA
Perl,0,0,0,Austin,TX
Python,3.0303030303,25,12.5,Minneapolis,MN
C++,2.32558139535,0,8.33333333333,Houston,TX
Hadoop,8.97435897436,46.6666666667,21.4285714286,Detroit,MI
Ruby,4.04411764706,2.52100840336,10,Boston,MA
Hive,2.13414634146,4.2328042328,8.41121495327,Washington,DC
SAS,2.63157894737,0,0,Cincinnati,OH
MapReduce,0,10.7407407407,4.44444444444,Oakland,CA
R,2.63157894737,9.09090909091,18.1818181818,Cincinnati,OH
Python,6.45161290323,37.2549019608,12,LongBeach,CA
Matlab,1.40515222482,10.8333333333,0.869565217391,Jersey,NJ
HBase,0.77519379845,3.62694300518,22.2222222222,San Jose,CA
R,5.40540540541,47.0588235294,0,SanDiego,CA
HBase,0,16.6666666667,0,Glendale,AZ
R,7.31707317073,40,0,Chandler,AZ
MapReduce,1.21951219512,5.29100529101,6.54205607477,Washington,DC
Python,2.53164556962,54.8387096774,0,Baltimore,MD
NoSQL,2.12765957447,3.33333333333,33.3333333333,Boulder,CO
Excel,48.6486486486,0,10,SanDiego,CA
Python,8.66510538642,57.0833333333,20,Jersey,NJ
Perl,0,20,0,Gilbert,AZ
Python,10.8108108108,62.5,38.8888888889,Austin,TX
Scala,0,15.3846153846,0,Santa Ana,CA
MapReduce,1.54867256637,5.57768924303,4.16666666667,New York,NY
ZooKeeper,0,0,2.12765957447,Fremont,CA
Perl,4.48979591837,3.7037037037,2.22222222222,Oakland,CA
MongoDB,3.0701754386,3.16205533597,13.5135135135,San Francisco,CA
Cassandra,0,0,25,Phoenix,AZ
NoSQL,0,4.34782608696,42.8571428571,St. Louis,MO
Spark,0,0,14.2857142857,Miami,FL
Hive,6.77966101695,47.3684210526,0,Arlington,TX
R,10.5263157895,40,0,Gilbert,AZ
Spark,0,33.3333333333,0,Glendale,AZ
C++,0.438596491228,9.8814229249,2.7027027027,San Francisco,CA
Mahout,0,0,0,Plano,TX
JavaScript,11.3924050633,3.22580645161,0,Baltimore,MD
JavaScript,8.97435897436,0,7.14285714286,Detroit,MI
Excel,42.5806451613,15.6862745098,4,LongBeach,CA
Python,7.29927007299,50,6.3829787234,Chicago,IL
SPSS,6.41025641026,0,7.14285714286,Detroit,MI
SQL,34.2105263158,16.1290322581,100,Denver,CO
Java,12.5,0,33.3333333333,Columbus,OH
Cassandra,0,14.2857142857,0,Irvine,CA
Matlab,0,25.9259259259,0,Garland,TX
Hive,0,0,16.6666666667,Houston,TX
Shark,0,0,0,Denver,CO
R,17.9591836735,40,8.88888888889,Oakland,CA
D3.js,0,7.8431372549,0,LongBeach,CA
Python,9.375,55.5555555556,8.33333333333,Dallas,TX
Ruby,0,11.7647058824,0,Anaheim,CA
R,16.6666666667,83.3333333333,30,FortWorth,TX
Mahout,0,0,25,Raleigh,NC
SPSS,4.44964871194,4.16666666667,0.869565217391,Jersey,NJ
ZooKeeper,0,0,12.5,Dallas,TX
D3.js,0,2.5641025641,0,Chicago,IL
Shark,0,0.398406374502,0,New York,NY
Java,6.66666666667,33.3333333333,50,Mesa,AZ
Ruby,2.57611241218,5.41666666667,5.21739130435,Jersey,NJ
MapReduce,0,8.82352941176,0,Anaheim,CA
Hadoop,5.75539568345,37.8378378378,3.57142857143,Atlanta,GA
Cassandra,0.510204081633,1.71673819742,10.6382978723,Fremont,CA
Excel,13.5135135135,0,0,Pittsburgh,PA
D3.js,0.438596491228,1.18577075099,0,San Francisco,CA
R,0,30,0,Portland,OR
Hive,4.51612903226,17.6470588235,8,LongBeach,CA
JavaScript,9.09090909091,25,8.33333333333,Minneapolis,MN
SPSS,2.54237288136,15.7894736842,3.84615384615,Arlington,TX
Shark,0,0,0,Atlanta,GA
MapReduce,0,0,0,Scottsdale,AZ
R,14.2857142857,61.5384615385,10,Plano,TX
Python,10.5769230769,39.0070921986,35.7142857143,Seattle,WA
Cassandra,0.442477876106,0,7.5,New York,NY
Cassandra,0,0,33.3333333333,Scottsdale,AZ
Tableau,14.6341463415,20,0,Chandler,AZ
NoSQL,1.51515151515,0,8.33333333333,Minneapolis,MN
Cassandra,0,2.17391304348,7.69230769231,Los Angeles,CA
C++,0,11.5384615385,5,Plano,TX
C++,1.10497237569,2.17391304348,0,Los Angeles,CA
Matlab,1.45631067961,17.2535211268,0.862068965517,Newark,NJ
NoSQL,0,5.88235294118,60,SanDiego,CA
Oozie,0.689655172414,0,6.06060606061,Irving,TX
JavaScript,3.7037037037,0,0,St. Louis,MO
Tableau,5.1724137931,15.3846153846,0,Santa Ana,CA
JavaScript,2.87769784173,16.2162162162,0,Atlanta,GA
Cassandra,1.78571428571,19.2307692308,25,Plano,TX
Python,5.10204081633,38.7096774194,6.66666666667,Philadelphia,PA
Tableau,11.8421052632,6.45161290323,0,Denver,CO
HBase,0,0,0,Columbus,OH
NoSQL,0,0,36.3636363636,Tampa,FL
Hadoop,11.6071428571,38.4615384615,50,Plano,TX
Hive,3.31491712707,15.2173913043,7.69230769231,Los Angeles,CA
Java,4.80769230769,22.695035461,35.7142857143,Seattle,WA
Hadoop,3.84615384615,34.7517730496,42.8571428571,Seattle,WA
Spark,0,25,0,St. Paul,MN
Matlab,3.7037037037,20.5882352941,0,Anaheim,CA
MapReduce,0,33.3333333333,0,FortWorth,TX
Scala,0,16.6666666667,0,FortWorth,TX
MongoDB,0,3.92156862745,4,LongBeach,CA
Spark,4.13793103448,9.67741935484,24.2424242424,Irving,TX
Oozie,0,0,0,Boston,MA
Excel,42.3076923077,22.2222222222,0,Garland,TX
JavaScript,5.33980582524,4.57746478873,7.75862068966,Newark,NJ
Perl,0,20,0,Phoenix,AZ
SAS,8.62068965517,23.0769230769,0,Santa Ana,CA
Hadoop,0.729927007299,17.9487179487,12.7659574468,Chicago,IL
Scala,0,14.2857142857,0,Irvine,CA
HBase,0,9.62962962963,13.3333333333,Oakland,CA
Ruby,0,9.67741935484,0,Philadelphia,PA
ZooKeeper,0,1.97628458498,0,San Francisco,CA
MapReduce,0,20,0,Boulder,CO
Pig,0.77519379845,12.9533678756,25,San Jose,CA
Shark,0,0,0,Boulder,CO
Python,0,60,0,Phoenix,AZ
SPSS,5.76923076923,25.9259259259,0,Garland,TX
MapReduce,0,13.3333333333,0,Aurora,CO
HBase,0,6.45161290323,15.1515151515,Irving,TX
Oozie,0.442477876106,0,2.5,New York,NY
MapReduce,0,0,25,Raleigh,NC
Matlab,5.42635658915,12.9533678756,0,San Jose,CA
Flume,0,0,6.08695652174,Jersey,NJ
Mahout,0,5.26315789474,0,Arlington,TX
Scala,0,5.88235294118,0,LongBeach,CA
D3,0.970873786408,1.76056338028,0.862068965517,Newark,NJ
Ruby,0,0,8.33333333333,Minneapolis,MN
Java,7.69230769231,0,22.2222222222,Durham,NC
MapReduce,0,0,0,St. Paul,MN
Flume,0,0,8.33333333333,Houston,TX
Hadoop,1.35135135135,50,31.8181818182,St. Paul,MN
Tableau,11.724137931,25.8064516129,6.06060606061,Irving,TX
SPSS,0,7.69230769231,0,Santa Ana,CA
Python,2.7027027027,100,0,Pittsburgh,PA
Cassandra,0,0,25,Mesa,AZ
SPSS,4.59183673469,5.15021459227,0,Fremont,CA
Matlab,0,19.3548387097,0,Baltimore,MD
SPSS,0,20,0,Charlotte,NC
NoSQL,13.5135135135,0,0,Pittsburgh,PA
SQL,38,66.6666666667,66.6666666667,St.Petersburg,FL
Python,4.05405405405,25,13.6363636364,St. Paul,MN
Mahout,0,13.5135135135,0,Atlanta,GA
HBase,0,0,0,Irvine,CA
SPSS,0,25,0,Minneapolis,MN
SAS,9.09090909091,21.4285714286,0,Irvine,CA
C++,0,13.475177305,0,Seattle,WA
JavaScript,3.0612244898,9.67741935484,13.3333333333,Philadelphia,PA
JavaScript,4.6511627907,0,0,Houston,TX
Hive,0,0,25,Mesa,AZ
JavaScript,2.94117647059,0,16.6666666667,Nashville,TN
Hadoop,13.5135135135,0,0,Pittsburgh,PA
Spark,0,33.3333333333,0,Columbus,OH
ZooKeeper,0,0,5.55555555556,San Jose,CA
Flume,0,0,0,Phoenix,AZ
SQL,40,40,75,Charlotte,NC
SPSS,1.5873015873,3.33333333333,0,Aurora,CO
Pig,0.735294117647,1.68067226891,7.5,Boston,MA
C++,0,18.75,0,Austin,TX
MongoDB,1.5306122449,3.00429184549,4.25531914894,Fremont,CA
Hadoop,16.6666666667,83.3333333333,50,FortWorth,TX
SQL,43.2692307692,66.6666666667,27.7777777778,Garland,TX
SQL,45.3125,55.5555555556,29.1666666667,Dallas,TX
Excel,24.3243243243,0,0,St. Paul,MN
SPSS,2.7027027027,0,0,Pittsburgh,PA
Excel,38.7755102041,12.9032258065,6.66666666667,Philadelphia,PA
Tableau,7.89473684211,0,9.09090909091,Cincinnati,OH
SQL,39.5784543326,39.5833333333,53.9130434783,Jersey,NJ
SQL,31.8181818182,0,33.3333333333,Scottsdale,AZ
SPSS,4.97237569061,6.52173913043,0,Los Angeles,CA
C++,2.55102040816,16.7381974249,10.6382978723,Fremont,CA
SPSS,7.7519379845,3.10880829016,0,San Jose,CA
SAS,14.2857142857,35.4838709677,6.66666666667,Philadelphia,PA
SAS,10.0877192982,12.6482213439,0,San Francisco,CA
C++,0.728155339806,11.9718309859,3.44827586207,Newark,NJ
SPSS,0,25,0,St. Paul,MN
MongoDB,0.729927007299,1.28205128205,8.51063829787,Chicago,IL
Shark,0,1.03626943005,2.77777777778,San Jose,CA
Mahout,0,0,0,Garland,TX
Pig,6.34920634921,10,0,Aurora,CO
MapReduce,0,0,22.2222222222,Durham,NC
HBase,5.40540540541,5.88235294118,30,SanDiego,CA
C++,2.5641025641,0,0,Durham,NC
C++,0,3.22580645161,0,Philadelphia,PA
SAS,11.1111111111,50,33.3333333333,Glendale,AZ
Mahout,0,0,22.2222222222,Durham,NC
Ruby,1.22448979592,7.40740740741,4.44444444444,Oakland,CA
Ruby,0,21.6216216216,0,Atlanta,GA
Python,2.5641025641,0,0,Detroit,MI
Pig,5.12820512821,0,22.2222222222,Durham,NC
R,6.81818181818,50,0,Scottsdale,AZ
Flume,1.43884892086,0,0,Atlanta,GA
MapReduce,0,0,12.5,Charlotte,NC
Spark,0,3.33333333333,0,Aurora,CO
SQL,34.0909090909,0,50,Phoenix,AZ
Shark,0,7.69230769231,0,Plano,TX
SQL,56.25,83.3333333333,20,FortWorth,TX
SPSS,4,66.6666666667,0,St.Petersburg,FL
Matlab,0,24.3243243243,0,Atlanta,GA
JavaScript,7.89473684211,0,0,Gilbert,AZ
Hadoop,4.38596491228,36.7588932806,27.027027027,San Francisco,CA
SQL,25,0,71.4285714286,Miami,FL
Hive,1.31578947368,16.1290322581,0,Denver,CO
Flume,0,1.48148148148,6.66666666667,Oakland,CA
Tableau,20.5128205128,0,0,Durham,NC
SQL,44.8275862069,70.9677419355,21.2121212121,Irving,TX
MongoDB,0,0,14.2857142857,Miami,FL
Python,0,18.1818181818,18.1818181818,Cincinnati,OH
HBase,0.735294117647,0,2.5,Boston,MA
Hadoop,0,33.3333333333,50,Mesa,AZ
SQL,36.7256637168,37.8486055777,45,New York,NY
SQL,60.4651162791,0,50,Houston,TX
SQL,44.1988950276,45.652173913,53.8461538462,Los Angeles,CA
D3,1.92307692308,0,0,Seattle,WA
Excel,28.8461538462,10.6382978723,7.14285714286,Seattle,WA
Shark,0,0,0,Anaheim,CA
Mahout,1.35135135135,0,0,St. Paul,MN
MongoDB,1.37931034483,3.22580645161,12.1212121212,Irving,TX
SAS,20.1923076923,44.4444444444,0,Garland,TX
Ruby,6.32911392405,25.8064516129,0,Baltimore,MD
MapReduce,0,0,9.09090909091,Cincinnati,OH
Flume,0,1.97628458498,2.7027027027,San Francisco,CA
Hive,10.4166666667,83.3333333333,0,FortWorth,TX
Ruby,1.94174757282,2.46478873239,1.72413793103,Newark,NJ
Python,8.98058252427,56.6901408451,18.1034482759,Newark,NJ
Shark,0,0,0,Philadelphia,PA
Flume,0,4.34782608696,0,Los Angeles,CA
Scala,0,2.7027027027,0,Atlanta,GA
Tableau,12.5,0,42.8571428571,Miami,FL
NoSQL,1.5873015873,3.33333333333,40,Aurora,CO
HBase,0,0,16.6666666667,Dallas,TX
